"bug_fixing";"filename";"filepath";"bug_introducing"
"de20a43d247c8178c840110d7b5df1bc22c82263";"ProxettaAsmUtil.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaAsmUtil.java";"{'1c8863157b0df4265d5bd5e6807644cdfff049a8'}"
"fac306d6697d2d6a2e7816bfe16fc5ff005e6ae9";"EmptyAnnotationVisitor.java";"mod\jodd-wot\src\jodd\proxetta\asm\EmptyAnnotationVisitor.java";"{'733301f0dc9a95bcdb1f927c9adb2799d84a2060'}"
"fac306d6697d2d6a2e7816bfe16fc5ff005e6ae9";"EmptyClassVisitor.java";"mod\jodd-wot\src\jodd\proxetta\asm\EmptyClassVisitor.java";"{'7a92674ab78530c505d344b41b01becfef01f8cd'}"
"fac306d6697d2d6a2e7816bfe16fc5ff005e6ae9";"EmptyMethodVisitor.java";"mod\jodd-wot\src\jodd\proxetta\asm\EmptyMethodVisitor.java";"{'7a92674ab78530c505d344b41b01becfef01f8cd'}"
"d6674e291c4890f001d824c175bf4056e69061da";"ProxettaClassBuilder.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaClassBuilder.java";"{'cc21d1ea0e01f0e8b126920c957648ed6347bfcd', '7a92674ab78530c505d344b41b01becfef01f8cd'}"
"d6674e291c4890f001d824c175bf4056e69061da";"ProxettaCreator.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaCreator.java";"{'cc21d1ea0e01f0e8b126920c957648ed6347bfcd', '7a92674ab78530c505d344b41b01becfef01f8cd'}"
"d6674e291c4890f001d824c175bf4056e69061da";"SubclassTest.java";"mod\jodd-wot\test\jodd\proxetta\SubclassTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e', '7a92674ab78530c505d344b41b01becfef01f8cd'}"
"2659bc263c115b9066d2029b2ccefbe22e8d040c";"WebApplication.java";"mod\jodd-wot\src\jodd\madvoc\WebApplication.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e', '619f0deb721759ea7ae95047e5fba36de3e1e981'}"
"5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fc";"PropertiesUtil.java";"mod\jodd\src\jodd\util\PropertiesUtil.java";"{'2261233b1fa47ef863c7f27cff62c3141e02fdda'}"
"5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fc";"StringUtil.java";"mod\jodd\src\jodd\util\StringUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fc";"PropertiesUtilTest.java";"mod\jodd\test\jodd\util\PropertiesUtilTest.java";"{'2261233b1fa47ef863c7f27cff62c3141e02fdda'}"
"5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fc";"StringUtilTest.java";"mod\jodd\test\jodd\util\StringUtilTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"ProxettaClassBuilder.java";"mod\jodd-wot\src\jodd\proxetta\asm\ProxettaClassBuilder.java";"{'cc21d1ea0e01f0e8b126920c957648ed6347bfcd', '7a92674ab78530c505d344b41b01becfef01f8cd'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"TargetClassInfoReader.java";"mod\jodd-wot\src\jodd\proxetta\asm\TargetClassInfoReader.java";"{'cc21d1ea0e01f0e8b126920c957648ed6347bfcd'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"AllGettersPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllGettersPointcut.java";"{'c6d8b6aaa17808a18d2107271e9e875ab465771a'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"AllMethodsPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllMethodsPointcut.java";"{'c6d8b6aaa17808a18d2107271e9e875ab465771a'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"AllSettersPointcut.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\AllSettersPointcut.java";"{'c6d8b6aaa17808a18d2107271e9e875ab465771a'}"
"fa0e3f06c0b0ae7c9eee387dbb004d7c259bcded";"ProxyPointcutSupport.java";"mod\jodd-wot\src\jodd\proxetta\pointcuts\ProxyPointcutSupport.java";"{'c6d8b6aaa17808a18d2107271e9e875ab465771a'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"build.py";"build.py";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"build.xml";"build.xml";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"ActionMethodParserTest.java";"mod\jodd-wot\test\jodd\madvoc\ActionMethodParserTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"ActionResultTest.java";"mod\jodd-wot\test\jodd\madvoc\ActionResultTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"ActionPathMapperTest.java";"mod\jodd-wot\test\jodd\madvoc\component\ActionPathMapperTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"ParamTest.java";"mod\jodd-wot\test\jodd\petite\ParamTest.java";"{'2fd8e5e9d5d951d8cc0e490315e7e5ecc58ead58'}"
"93d67520827f2ee57bf1227f67faf26f13cd88d9";"MyWebApplication.java";"mod\serverside\src\madvoc\MyWebApplication.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e', '619f0deb721759ea7ae95047e5fba36de3e1e981'}"
"9c2a35ebc2cbfbe383c684203c9861a1639b76b9";"RandomStringUtil.java";"mod\jodd\src\jodd\util\RandomStringUtil.java";"{'23496227fd9fbcfe647e55c9c373dfd39f50b9d4'}"
"0218c4308ab181fb94ebf97cebc124909f9f2cc9";"ArrayEnumeration.java";"mod\jodd\src\jodd\util\collection\ArrayEnumeration.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"1669bce27b5c31fea4a2806f5a8f34b623927801";"build.py";"build.py";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e', '616b2d1af4886081097ca8a1370ebf5c6c419b20', 'a797333360c7542c306d5df615631d68a7bcecd0', '40b25021c28c098ca9f054f967bf73ece9f12d87', 'e7b7e81cd24dc7958463187b2f636eb276bffd11'}"
"1669bce27b5c31fea4a2806f5a8f34b623927801";"build.xml";"build.xml";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e', '362bc908a509e2d4d16246a38e0c3feb7cf25dcb', '616b2d1af4886081097ca8a1370ebf5c6c419b20', 'a797333360c7542c306d5df615631d68a7bcecd0', '40b25021c28c098ca9f054f967bf73ece9f12d87', 'e7b7e81cd24dc7958463187b2f636eb276bffd11'}"
"e41a4eb673b7c81ceb47c0210c772460e036b373";"build.py";"build.py";"{'1669bce27b5c31fea4a2806f5a8f34b623927801'}"
"e41a4eb673b7c81ceb47c0210c772460e036b373";"build.xml";"build.xml";"{'e7b7e81cd24dc7958463187b2f636eb276bffd11'}"
"c51172604f277c133da71c9b32ed2a59cba71efa";"DbQuery.java";"mod\jodd-wot\src\jodd\db\DbQuery.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"3f578c68bd5c0bfbd60ab89c82ecde2b755a87a7";"PrettyStringBuilder.java";"mod\jodd\src\jodd\util\PrettyStringBuilder.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"456a260f0e4de06e98bb2008b3553f4599360243";"ServletUtilTest.java";"mod\jodd\test\jodd\servlet\ServletUtilTest.java";"{'6407382bff08e104b963b2fdc65a0b7e7f315179'}"
"aca25d91968fe3996cd84696228d16dea8696e48";"ActionMethodParser.java";"mod\jodd-wot\src\jodd\madvoc\component\ActionMethodParser.java";"{'16a580dd883717cca52f8265ff9f0ad25c73a87f'}"
"aca25d91968fe3996cd84696228d16dea8696e48";"ActionMethodParserTest.java";"mod\jodd-wot\test\jodd\madvoc\ActionMethodParserTest.java";"{'744d2cb408462e0dbd2b439a54e7339fcdc53c01'}"
"d42360e5f10d0e0911d2fc96a6fa4a4bd4ad0b5d";"HtmlFormUtil.java";"mod\jodd\src\jodd\servlet\HtmlFormUtil.java";"{'335a76df64777dfc4e076b9b6ba501e457fdb204'}"
"d42360e5f10d0e0911d2fc96a6fa4a4bd4ad0b5d";"FormTag.java";"mod\jodd\src\jodd\servlet\tag\FormTag.java";"{'335a76df64777dfc4e076b9b6ba501e457fdb204'}"
"d42360e5f10d0e0911d2fc96a6fa4a4bd4ad0b5d";"form.jsp";"mod\serverside\web\form.jsp";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"c5c2f0a2536c7003833153c5d31baa15fbac4354";"DbEntitySql.java";"mod\jodd-wot\src\jodd\db\orm\sqlgen\DbEntitySql.java";"{'dff292d973a84f4577bc6309716d4395181293ab', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"c5c2f0a2536c7003833153c5d31baa15fbac4354";"ColumnsSelectChunk.java";"mod\jodd-wot\src\jodd\db\orm\sqlgen\chunks\ColumnsSelectChunk.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"c5c2f0a2536c7003833153c5d31baa15fbac4354";"ReferenceChunk.java";"mod\jodd-wot\src\jodd\db\orm\sqlgen\chunks\ReferenceChunk.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"c5c2f0a2536c7003833153c5d31baa15fbac4354";"MappingTest.java";"mod\jodd-wot\test\jodd\db\orm\MappingTest.java";"{'e2c4a832e6823045dcd8ee4ad4d051caad0c4a21'}"
"c5c2f0a2536c7003833153c5d31baa15fbac4354";"Foo.java";"mod\jodd-wot\test\jodd\db\orm\test\Foo.java";"{'e2c4a832e6823045dcd8ee4ad4d051caad0c4a21'}"
"ba9b551cf3a08dd0a7a5bfa62b049865f5dfcd1b";"Proxetta.java";"mod\jodd-wot\src\jodd\proxetta\Proxetta.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"ba9b551cf3a08dd0a7a5bfa62b049865f5dfcd1b";"MethrefProxetta.java";"mod\jodd-wot\src\jodd\proxetta\methref\MethrefProxetta.java";"{'83cd3f2641ae8ec644df223265ebe80ec997574a'}"
"ba9b551cf3a08dd0a7a5bfa62b049865f5dfcd1b";"ClassLoaderUtil.java";"mod\jodd\src\jodd\util\ClassLoaderUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"0422516a37ab09912e1e18529b6c7ba8e710aae8";"JtxTransactionManager.java";"mod\jodd-wot\src\jodd\jtx\JtxTransactionManager.java";"{'c73f695c9e1b0120b7761e2cea65b06fa62ad0f1'}"
"0422516a37ab09912e1e18529b6c7ba8e710aae8";"AnnotationTxAdviceManager.java";"mod\jodd-wot\src\jodd\jtx\proxy\AnnotationTxAdviceManager.java";"{'ca6b576c6cf47d1f9b0f4931deaab44f0bd02664'}"
"0422516a37ab09912e1e18529b6c7ba8e710aae8";"ProxettaExample.java";"mod\samples\src\examples\proxetta\ProxettaExample.java";"{'ff794b8d2415cc8f3d1f00b8f3deaa36887d743e', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"398a0237aebfce3e5ed4e7e0290ac8d9b3354da8";"ReceiveMailSession.java";"mod\jodd\src\jodd\mail\ReceiveMailSession.java";"{'1e5dc344d530387a379209dbd8ba04892e93aa3c'}"
"398a0237aebfce3e5ed4e7e0290ac8d9b3354da8";"ReceiveMail.java";"mod\samples\src\examples\email\ReceiveMail.java";"{'1e5dc344d530387a379209dbd8ba04892e93aa3c'}"
"3505417e145656ab3538638762b02d9eb5870919";"DbNameUtil.java";"mod\jodd-wot\src\jodd\db\orm\DbNameUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"3505417e145656ab3538638762b02d9eb5870919";"DbEntitySql.java";"mod\jodd-wot\src\jodd\db\orm\sqlgen\DbEntitySql.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"3505417e145656ab3538638762b02d9eb5870919";"DbNameUtilTest.java";"mod\jodd-wot\test\jodd\db\orm\DbNameUtilTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"65c2afdf7e69891ed91398f8353cccb49b8134b4";"DbEntitySql.java";"mod\jodd-wot\src\jodd\db\orm\sqlgen\DbEntitySql.java";"{'c5c2f0a2536c7003833153c5d31baa15fbac4354', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"65c2afdf7e69891ed91398f8353cccb49b8134b4";"DbEntitySqlTest.java";"mod\jodd-wot\test\jodd\db\orm\sqlgen\DbEntitySqlTest.java";"{'dfb9eddf220ab23abeca4e379355281b207edb04'}"
"f04f5413b06c813fa578b289940afe21dd5aabf7";"IdRequestInjectorInterceptor.java";"mod\jodd-wot\src\jodd\madvoc\interceptor\IdRequestInjectorInterceptor.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"f04f5413b06c813fa578b289940afe21dd5aabf7";"PrepareAndIdInjectorInterceptor.java";"mod\jodd-wot\src\jodd\madvoc\interceptor\PrepareAndIdInjectorInterceptor.java";"{'0eee68d83e2e79bae5fe29eb1e9b0b88d8b2baed', 'ae74c860b368c75823118566a48d8a9fe8dcd1f5', '0aeb2c1f016267b7e4b9e9b6ae99508a3aff2895', 'e3d9b8cdfaa06b7820b2f23b579fd605aafe8ce8'}"
"59bc3149d4432b2eed7e82e8b7462262f101806f";"Proxetta.java";"mod\jodd-wot\src\jodd\proxetta\Proxetta.java";"{'ba9b551cf3a08dd0a7a5bfa62b049865f5dfcd1b'}"
"59bc3149d4432b2eed7e82e8b7462262f101806f";"ClassLoaderUtil.java";"mod\jodd\src\jodd\util\ClassLoaderUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"59bc3149d4432b2eed7e82e8b7462262f101806f";"ReflectUtil.java";"mod\jodd\src\jodd\util\ReflectUtil.java";"{'eb211421567ba4fff59a0240c3145c84df8bd1f7'}"
"68434648b87439db263a45dd5e662db50fb0b36d";"CsvUtil.java";"mod\jodd\src\jodd\util\CsvUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"19744f56dcf64e994f4f8f16387aa18f22cff28a";"CharacterSqlType.java";"mod\jodd-wot\src\jodd\db\type\CharacterSqlType.java";"{'1f929848e3e282d4a438cdb909d168def773feda'}"
"90325004d3ceba9d7ef2fcb39d3825fc92ad8af7";"MapBeanLoader.java";"mod\jodd\src\jodd\bean\loader\MapBeanLoader.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"8313f4a9ec6a6c2332756f6129c7d03e73991d3c";"SendMailSession.java";"mod\jodd\src\jodd\mail\SendMailSession.java";"{'07df54449995ac06c0c2193c72bb353979e2f3c7'}"
"496b180844832e59c7addbfe29133f483c2bdcb1";"TextTag.java";"mod\jodd-joy\src\jodd\joy\i18n\TextTag.java";"{'766aba45ea8946fd8096479f2b023732bf7e85b1'}"
"496b180844832e59c7addbfe29133f483c2bdcb1";"EchoInterceptor.java";"mod\jodd-wot\src\jodd\madvoc\interceptor\EchoInterceptor.java";"{'8efb797d5bed2869f02bc1556a9c44b4e977cd8b'}"
"496b180844832e59c7addbfe29133f483c2bdcb1";"StringUtil.java";"mod\jodd\src\jodd\util\StringUtil.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"496b180844832e59c7addbfe29133f483c2bdcb1";"StringUtilTest.java";"mod\jodd\test\jodd\util\StringUtilTest.java";"{'74b780e85a6bad3feac69e158fda894f9f9cde93'}"
"5571e4edc39ef23ccf148970dd3920f32ec373c5";"CharacterConverter.java";"mod\jodd\src\jodd\typeconverter\CharacterConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"5571e4edc39ef23ccf148970dd3920f32ec373c5";"StringArrayConverter.java";"mod\jodd\src\jodd\typeconverter\StringArrayConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"5571e4edc39ef23ccf148970dd3920f32ec373c5";"BaseTestCase.java";"mod\jodd\test\jodd\typeconverter\BaseTestCase.java";"{'5182006c1fd345cb34b8714ccc3f43d6ca1fc6f7'}"
"5571e4edc39ef23ccf148970dd3920f32ec373c5";"BooleanArrayConverterTest.java";"mod\jodd\test\jodd\typeconverter\BooleanArrayConverterTest.java";"{'5182006c1fd345cb34b8714ccc3f43d6ca1fc6f7'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BigDecimalConverter.java";"mod\jodd\src\jodd\typeconverter\BigDecimalConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BigIntegerConverter.java";"mod\jodd\src\jodd\typeconverter\BigIntegerConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BooleanArrayConverter.java";"mod\jodd\src\jodd\typeconverter\BooleanArrayConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BooleanConverter.java";"mod\jodd\src\jodd\typeconverter\BooleanConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"ByteConverter.java";"mod\jodd\src\jodd\typeconverter\ByteConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"CharacterConverter.java";"mod\jodd\src\jodd\typeconverter\CharacterConverter.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5', 'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"ClassArrayConverter.java";"mod\jodd\src\jodd\typeconverter\ClassArrayConverter.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5', '1665024e7e9d280a552fe98e0d7d6016fba63071'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"ClassConverter.java";"mod\jodd\src\jodd\typeconverter\ClassConverter.java";"{'a0953a1e3d4dfa72afc273c52ccba7b82e9853c6'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"DoubleConverter.java";"mod\jodd\src\jodd\typeconverter\DoubleConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"FloatConverter.java";"mod\jodd\src\jodd\typeconverter\FloatConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"IntegerArrayConverter.java";"mod\jodd\src\jodd\typeconverter\IntegerArrayConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"IntegerConverter.java";"mod\jodd\src\jodd\typeconverter\IntegerConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"JDateTimeConverter.java";"mod\jodd\src\jodd\typeconverter\JDateTimeConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"LongConverter.java";"mod\jodd\src\jodd\typeconverter\LongConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableByteConverter.java";"mod\jodd\src\jodd\typeconverter\MutableByteConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableDoubleConverter.java";"mod\jodd\src\jodd\typeconverter\MutableDoubleConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableFloatConverter.java";"mod\jodd\src\jodd\typeconverter\MutableFloatConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableIntegerConverter.java";"mod\jodd\src\jodd\typeconverter\MutableIntegerConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableLongConverter.java";"mod\jodd\src\jodd\typeconverter\MutableLongConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"MutableShortConverter.java";"mod\jodd\src\jodd\typeconverter\MutableShortConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"ShortConverter.java";"mod\jodd\src\jodd\typeconverter\ShortConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"StringArrayConverter.java";"mod\jodd\src\jodd\typeconverter\StringArrayConverter.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"StringConverter.java";"mod\jodd\src\jodd\typeconverter\StringConverter.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BeanUtilTest.java";"mod\jodd\test\jodd\bean\BeanUtilTest.java";"{'da78d9f59c5385808e320c4ad153a993f1eecc7e'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"AllTests.java";"mod\jodd\test\jodd\typeconverter\AllTests.java";"{'9099fd5d697cd1fcd2aaea64fe7846a99f853235', '5571e4edc39ef23ccf148970dd3920f32ec373c5', 'c3a82f06a2e6c9ef0e95bafdc723b6fd140ddaf7'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BaseTestCase.java";"mod\jodd\test\jodd\typeconverter\BaseTestCase.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5', '5182006c1fd345cb34b8714ccc3f43d6ca1fc6f7'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"BooleanArrayConverterTest.java";"mod\jodd\test\jodd\typeconverter\BooleanArrayConverterTest.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5', '5182006c1fd345cb34b8714ccc3f43d6ca1fc6f7'}"
"a230c861734f8a33b4300618bdc0d7391647936a";"ByteArrayConverterTest.java";"mod\jodd\test\jodd\typeconverter\ByteArrayConverterTest.java";"{'5571e4edc39ef23ccf148970dd3920f32ec373c5'}"
